INDEXVAL,Y_COORD,X_COORD,FBP,FUELPERC,FUELWEIGHT
1,49.37965,-95.0437,C2,14.8043,59.4506989
2,49.54404,-95.07353,O1,7.1658,33.5728989
3,49.72382,-95.08118,M1,8.2658,89.7929993
4,49.90358,-95.08891,M1,22.7873,124.1855011
5,50.08335,-95.09672,M1,31.3788,103.4648972
6,50.2631,-95.1046,M1,13.1385,87.5625
7,50.44285,-95.11256,C3,23.233,155.0261993
8,50.62259,-95.12061,C3,22.8687,181.0843964
9,50.80233,-95.12874,C4,19.2175,178.118103
10,50.98206,-95.13695,C1,49.4213,219.633194
11,51.16178,-95.14525,C1,25.6613,176.4748993
12,51.34281,-95.0819,C1,28.2455,174.7734985
13,51.52253,-95.09009,C1,54.607,230.1490021
14,51.70224,-95.09836,C1,43.5805,209.9309998
15,51.88195,-95.10672,C4,19.392,148.7960052
16,52.06164,-95.11517,C1,30.8035,173.3634949
17,52.24134,-95.12371,C4,28.6175,197.0529938
18,52.42102,-95.13233,C4,31.2485,179.003006
19,52.6007,-95.14105,C4,25.268,162.0424957
20,52.78037,-95.14986,D1,26.812,173.8179932
21,52.91508,-95.15653,C1,25.602,97.8529968
22,48.83044,-94.70325,O1,0.7285,18.3470001
23,49.01027,-94.70938,O1,0.019,3.9335001
24,49.18904,-94.78415,M1,10.4583,27.4125004
25,49.36886,-94.79065,M1,15.2065,27.7884007
26,49.54867,-94.79722,M1,10.9075,44.2498016
27,49.72847,-94.80385,M1,25.1478,77.9653015
28,49.90827,-94.81055,M1,26.3197,120.0554962
29,50.08806,-94.81731,M1,44.3515,93.9996033
30,50.26784,-94.82415,M1,13.0338,104.1511993
31,50.44762,-94.83105,C4,15.5082,152.158493
32,50.62739,-94.83803,C3,28.0433,198.2677002
33,50.80716,-94.84508,C4,25.0708,208.4508972
34,50.98692,-94.8522,C1,31.928,189.3614044
35,51.16667,-94.85939,C1,38.7725,203.2485962
36,51.34642,-94.86666,M1,21.8178,138.7332001
37,51.52616,-94.874,C1,44.894,200.4165039
38,51.70589,-94.88142,C1,32.662,180.2248993
39,51.88562,-94.88892,C4,38.088,172.5908051
40,52.06534,-94.89649,C1,25.198,172.4929962
41,52.24506,-94.90415,C1,28.6902,185.9750061
42,52.42477,-94.91188,C4,29.1167,174.8806
43,52.60447,-94.9197,C1,29.2523,184.8072968
44,52.78417,-94.9276,C4,22.044,178.858902
45,52.96386,-94.93559,C1,35.6402,186.1195068
46,48.69832,-94.49492,O1,1.526,24.4424992
47,48.83325,-94.49894,C2,21.9102,122.4961014
48,49.01311,-94.50433,M1,16.3517,40.7212982
49,49.19295,-94.50978,M1,25.8285,53.3717995
50,49.37279,-94.51528,C3,24.0583,88.4358978
51,49.55263,-94.52083,M1,8.5945,18.7707005
52,49.73246,-94.52645,M1,7.2852,27.7075005
53,49.91228,-94.53212,M1,15.344,59.2790985
54,50.0921,-94.53784,M1,23.4052,108.6069031
55,50.27191,-94.54363,C1,30.7515,162.5162964
56,50.45171,-94.54947,M1,24.6735,170.9120941
57,50.63151,-94.55538,C2,13.793,179.2751007
58,50.8113,-94.56134,C2,35.3925,222.1968994
59,50.99109,-94.56737,C4,24.2922,196.5330048
60,51.17087,-94.57346,C2,18.6393,188.7503052
61,51.35064,-94.57961,C1,33.2398,169.3598022
62,51.53041,-94.58582,C4,24.9598,194.9154968
63,51.71017,-94.5921,C1,31.0863,168.491806
64,51.88993,-94.59845,D1,30.04,149.6575012
65,52.06968,-94.60486,D1,27.8612,142.3605957
66,52.24942,-94.61134,C1,35.2623,192.2319946
67,52.42916,-94.61789,C4,28.8075,166.9868927
68,52.60889,-94.6245,C4,26.7758,176.5494995
69,52.78862,-94.63119,C1,23.088,193.4633026
70,52.96833,-94.63795,O1,22.7598,120.9078979
71,53.13341,-94.61924,C1,33.5642,210.0897064
72,48.65659,-94.2221,M1,11.3335,31.9477005
73,48.83647,-94.22647,C2,31.2293,153.6056976
74,49.01635,-94.23089,M1,34.5993,118.188797
75,49.19622,-94.23535,M1,23.144,42.4788017
76,49.37608,-94.23985,C3,10.61,46.979599
77,49.55593,-94.2444,C3,14.2958,112.6613007
78,49.73578,-94.24899,C3,18.4638,102.0356979
79,49.91563,-94.25363,M1,22.3318,120.8480988
80,50.09546,-94.25832,C3,23.0177,108.3346024
81,50.2753,-94.26305,C3,18.2065,129.2227936
82,50.45512,-94.26783,C1,43.586,197.5061951
83,50.63494,-94.27266,C1,43.001,217.9924011
84,50.81476,-94.27754,C4,22.5165,190.746994
85,50.99456,-94.28248,C4,15.3437,168.2528992
86,51.17437,-94.28746,C4,27.6062,199.9402008
87,51.35416,-94.29249,C1,36.2818,214.5193024
88,51.53395,-94.29758,C1,34.5973,170.7987061
89,51.71374,-94.30272,M1,26.9107,168.2519073
90,51.89352,-94.30791,M1,27.7188,148.8639069
91,52.07329,-94.31316,D1,31.8058,148.6932983
92,52.25306,-94.31846,C1,26.8685,185.0048981
93,52.43282,-94.32382,C4,22.9268,176.9261017
94,52.61257,-94.32923,C1,32.6855,191.4562073
95,52.79232,-94.33471,C4,47.4275,243.1036987
96,52.97206,-94.34024,C1,48.4492,214.8381958
97,53.1518,-94.34583,C1,43.9925,249.3462982
98,53.31684,-94.32593,C1,53.8127,277.0806885
99,48.52475,-93.88033,O1,0,0
100,48.65916,-93.95057,M1,17.438,59.8415985
101,48.83905,-93.95397,M1,37.142,127.4960022
102,49.01894,-93.9574,M1,32.751,109.8333969
103,49.19882,-93.96087,M1,16.2183,55.1236992
104,49.3787,-93.96437,M1,5.048,42.8908005
105,49.55858,-93.96791,C3,29.2965,147.2984924
106,49.73844,-93.97148,C4,33.9488,173.8359985
107,49.9183,-93.97509,M1,29.9625,131.7453003
108,50.09816,-93.97874,C4,13.2435,104.3226013
109,50.27801,-93.98242,C3,10.52,65.8692017
110,50.45785,-93.98614,C3,34.591,171.1820068
111,50.63769,-93.9899,C1,35.5125,195.7142944
112,50.81752,-93.9937,C4,35.838,215.5494995
113,50.99734,-93.99753,C3,16.8345,135.1970062
114,51.17716,-94.00141,C3,27.6145,208.5574951
115,51.35698,-94.00533,C2,34.494,225.5426025
116,51.53679,-94.00928,C2,21.6623,187.0339966
117,51.71659,-94.01328,M1,28.92,129.4207001
118,51.89639,-94.01732,M1,31.9425,151.1271973
119,52.07618,-94.0214,C4,17.0745,189.4176941
120,52.25596,-94.02553,C4,32.093,220.1654053
121,52.43574,-94.0297,C4,21.2235,154.1260071
122,52.61552,-94.03391,C1,30.2045,152.4929962
123,52.79529,-94.03817,C1,36.2753,205.752594
124,52.97505,-94.04247,C1,44.3705,222.2920074
125,53.15481,-94.04682,C1,63.793,268.4719849
126,53.33456,-94.05122,C1,46.7608,263.6582031
127,53.49954,-94.0301,C1,49.7593,266.8580017
128,48.5261,-93.6772,M1,12.3245,47.0335007
129,48.66108,-93.679,M1,30.4098,92.9996033
130,48.84098,-93.68143,M1,44.7608,113.5065994
131,49.02089,-93.68388,M1,24.141,94.9205017
132,49.20078,-93.68636,C3,12.0592,80.3616028
133,49.38067,-93.68886,M1,28.2715,95.3957977
134,49.56056,-93.69139,C3,29.0307,158.3612061
135,49.74044,-93.69394,C3,30.052,159.4082031
136,49.92031,-93.69652,M1,19.2353,113.3214035
137,50.10018,-93.69913,C4,19.821,135.5675049
138,50.28004,-93.70176,C3,25.8338,167.3000946
139,50.4599,-93.70441,C1,14.2967,92.1669006
140,50.63975,-93.7071,C1,26.8975,201.6994934
141,50.81959,-93.70981,C4,26.0405,197.6508942
142,50.99943,-93.71255,C2,11.9098,106.9804001
143,51.17926,-93.71532,C2,27.5253,191.0774994
144,51.35909,-93.71812,C2,44.6972,230.6573029
145,51.53891,-93.72095,C2,41.8612,218.4020996
146,51.71873,-93.7238,C2,32.1908,180.5480957
147,51.89854,-93.72669,O1,30.9415,131.8426971
148,52.07835,-93.7296,C4,22.5243,202.7637024
149,52.25815,-93.73255,C4,21.3495,176.9423065
150,52.43794,-93.73553,C4,19.579,184.0603943
151,52.61773,-93.73854,C1,34.7062,177.9192963
152,52.79751,-93.74158,C1,35.46,210.0305023
153,52.97729,-93.74465,C1,47.8383,229.2642059
154,53.15706,-93.74776,C1,53.857,248.5457001
155,53.33682,-93.7509,C1,36.875,243.4685974
156,53.51659,-93.75408,C1,53.8507,258.6730957
157,53.68152,-93.73171,C4,28.274,185.4371033
158,48.52714,-93.47405,M1,6.207,20.3460007
159,48.66236,-93.40741,M1,24.8227,58.8860016
160,48.84227,-93.40887,M1,27.6625,53.4203987
161,49.02218,-93.41034,M1,21.8553,66.6964035
162,49.20209,-93.41183,C3,13.794,87.1843033
163,49.38199,-93.41333,M1,27.8128,138.3804016
164,49.56188,-93.41484,C3,23.6708,144.0800018
165,49.74177,-93.41638,C3,20.6142,115.1827011
166,49.92165,-93.41792,C3,16.4285,97.046402
167,50.10152,-93.41949,C3,21.778,123.4980011
168,50.2814,-93.42106,C3,18.3483,164.9208984
169,50.46126,-93.42266,C1,17.2012,130.0661011
170,50.64112,-93.42427,C2,12.2953,95.0304031
171,50.82097,-93.4259,C2,11.6305,106.1877975
